TIME 24 HOURS,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,year,hour,is_peak_hour
800,NAIROBI,KANGUNDO,RUAI CENTRE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98.0,PEDESTRIAN,1,2016-06-04,2016,8.0,1
1430,BUNGOMA,CHAVAKALI KILINGILI,KILINGILI,THE VEHICLE LOST CONTROL AND VEERED AND KNOCKED DOWN THE VICTIM,M,A,26.0,PEDESTRIAN,1,2016-06-04,2016,14.0,0
1610,HOMA BAY,AWASI AHERO ROAD,MAGENDO,HEAD ON COLLISION,M,A,26.0,M/CYCLIST,1,2016-06-04,2016,16.0,0
1610,HOMA BAY,AWASI AHERO ROAD,MAGENDO,HEAD ON COLLISION,M,A,26.0,P/PASSENGER,1,2016-06-04,2016,16.0,0
2000,NAIROBI,THIKA SUPER HIGHWAY,MUTHAIGA FOOT BRIDGE,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-06-04,2016,20.0,0
1800,UASIN GISHU,ELDORET NAKURU,TIMBOROA,HEAD ON COLLISION,F,J,19.0,PASSENGER,1,2016-06-04,2016,18.0,1
1930,KISII,KISII MARANI,NYATIEKO,THE VEHICLE COLLIDED WITH A M/CYCLE,M,A,98.0,P/PASSENGER,2,2016-06-04,2016,19.0,1
1930,KISII,KISII MARANI,NYATIEKO,THE VEHICLE COLLIDED WITH A M/CYCLE,M,A,98.0,M/CYCLIST,1,2016-06-04,2016,19.0,1
2230,BUNGOMA,WEBUYE KITALE ROAD,MISIKHU,THE CYCLE KNOCKED DOWN THE VICTIM,F,60,7.0,PEDESTRIAN,1,2016-06-04,2016,22.0,0
2200,NAIROBI,GATAKA DIVERSION,GATAKA,THE VEHICLE LOST CONTROL AND SLID INTO A QUARRY,M,A,26.0,PASSENGER,1,2016-06-04,2016,22.0,0
500,BUNGOMA,BUNGOMA WEBUYE ROAD,SIKATA,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-06-02,2016,5.0,0
400,MURANG'A,KENOL MURANG'A ROAD,KARIGIA,THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES,F,19,26.0,PASSENGER,1,2016-06-02,2016,4.0,0
1930,UASIN GISHU,NAKURU ELDORET,CHEBII,HEAD ON COLLISION,F,A,39.0,PASSENGER,1,2016-06-02,2016,19.0,1
2300,NAKURU,NAIROBI NAKURU,STATE HOUSE,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-06-02,2016,23.0,0
2340,KAJIADO,KAJIADO MURRAM ROAD,MAILI,THE VICTIM WAS RAN OVER BY THE VEHICLE,M,A,98.0,PASSENGER,1,2016-06-02,2016,23.0,0
1100,KIAMBU,NAIVASHA NAIROBI,ACRE TANO,THE CYCLE KNOCKED DOWN THE VITIM WHILE CROSSING THE ROAD,F,A,68.0,PEDESTRIAN,1,2016-06-01,2016,11.0,0
725,KAJIADO,KITENGELA ISINYA ROAD,KITENGELA TOWN,THE VEHICLE RAMMED INTO THE TRI CYCLE AND RAMMED INTO THE KAZ,M,A,35.0,PASSENGER,1,2016-06-01,2016,7.0,1
1345,NAIROBI,MOMBASA ROAD,NEAR ASSEMBLEYS OF GOD CHURCH,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,68.0,PEDESTRIAN,1,2016-06-01,2016,13.0,0
1400,NAIROBI,HAILE SELASIE AVENUE,NEAR RAILWAYS ROUND ABOUT,THE VICTIM ALIGHTED WHILE THE VEHICLE WAS IN MOTION,M,A,98.0,PASSENGER,1,2016-06-01,2016,14.0,0
1540,MAKUENI,WOTE MAKINDU,KINSINGO AREA,ONE OF THE CYCLE LOST CONTROL AND RAMMED INTO THE OTHER CYCLE,M,A,26.0,M/CYCLIST,1,2016-06-01,2016,15.0,0
2030,NAIROBI,OUTERING ROAD,FEDHA ESTATE,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-06-01,2016,20.0,0
2020,MWINGI,MWINGI GARISSA RD,NDALANI BRIDGE,HEAD ON COLLISION,M,A,98.0,DRIVER,1,2016-06-01,2016,20.0,0
2020,MWINGI,MWINGI GARISSA RD,NDALANI BRIDGE,HEAD ON COLLISION,M,A,98.0,PASSENGER,1,2016-06-01,2016,20.0,0
815,BOMET,BOMET NAROK,MULOT,HEAD ON COLLISION,M,A,,DRIVER,1,2016-04-30,2016,8.0,1
,TAITA TAVETA,MWATATE VOI,CKAHARELI,HEAD ON COLLISION,M,A,8.0,M/CYCLIST,1,2016-04-30,2016,,0
,TAITA TAVETA,MWATATE VOI,CKAHARELI,HEAD ON COLLISION,M,A,8.0,P/PASENGER,1,2016-04-30,2016,,0
1330,KISII,KEROKA TOWNSHIP,KEROKA TOWNSHIP,THE VEHICLE KNOCKED DOWN THE VICTIM,M,20,58.0,PEDESTRIAN,1,2016-04-30,2016,13.0,0
1820,BUSIA,KISUMU BUSIA,RAKITE BRIDGE,HEAD ON COLLISION,M,A,8.0,M/CYCLIST,1,2016-04-30,2016,18.0,1
1945,KILIFI,MALINDI MALANGA,MAGOMBENI,THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES,M,A,92.0,PASSENGER,1,2016-04-30,2016,19.0,1
2100,MAKUENI,NAIROBI MOMBASA,KIONGWANI,,M,A,,DRIVER,1,2016-04-30,2016,21.0,0
2045,NAKURU,GILGIL NAKURU,JAKARANDA,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-04-30,2016,20.0,0
2230,NAIROBI,KANGUNDO,KWA POWER,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98.0,PEDESTRIAN,1,2016-04-30,2016,22.0,0
2330,NAIROBI,MURANGA,NAIROBI WATER,HIT AND RUN,M,A,63.0,PEDESTRIAN,1,2016-04-30,2016,23.0,0
2300,NAIROBI,WAIYAKI,NAIROBI SCHOOL,THE VEHICLE LOST CONTROL AND ROLLED SEVERALLY,M,A,26.0,PASSENGER,1,2016-04-30,2016,23.0,0
355,NAIROBI,MOMBASA,FAW,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-04-30,2016,3.0,0
610,MOMBASA,MAINLAND JOMVU,JOMVU AREA,THE CYCLE HIT THE TRAILER FROM THE REAR,M,A,10.0,M/CYCLIST,1,2016-04-29,2016,6.0,1
815,KILIFI,KILIFI VITENGENI,EZAMOYO AREA,THE KMDG 044E RAMMED INTO THE VEHICLE AND THEN THE KMDH 025K BOXER,M,23 & 27,10.0,M/CYCLIST,2,2016-04-29,2016,8.0,1
UNKNOWN TIME,MAKUENI,MUSYINI KYULU MURRAM ROAD,KAMBU AREA,HIT AND RUN,M,30,98.0,PEDESTRIAN,1,2016-04-29,2016,,0
1600,MACHAKOS,WITHIN MACHAKOS TOWN,BUS STAGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,3,98.0,PEDESTRIAN,1,2016-04-29,2016,16.0,0
1900,NYAMIRA,KEROKA SOTIK,KISAURI AREA,THE CYCLE HIT THE VEHICLE,M,28,52.0,M/CYCLIST,1,2016-04-29,2016,19.0,1
2040,KIAMBU,KIJABE NAIVASHA,GICHIEGO JUNCTION,HIT AND RUN,M,21,98.0,PEDESTRIAN,1,2016-04-29,2016,20.0,0
2030,NAIROBI,PROFESSIONAL ROAD,NEAR STATE HOUSE,THE VEHICLE RAMMED INTO THE REAR,M,49,29.0,DRIVER,1,2016-04-29,2016,20.0,0
2100,KISII,KISII KILGORIS,MASHAURI AREA,THE VEHICLE VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,A,98.0,PEDESTRIAN,1,2016-04-29,2016,21.0,0
1920,EMBU,KIAMBERE BOLRIT,MUTUVALI JUNCTION,THE CYCLE KNOCKED DOWN THE VEHICLE,M,32,98.0,M/CYCLIST,1,2016-04-29,2016,19.0,1
1720,NAIROBI,NORTH AIRPORT ROAD,TRANSAMI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,28,63.0,PEDESTRIAN,1,2016-04-29,2016,17.0,1
2030,NAIROBI,THIKA SUPERHIGHWAY,MUTHAIGA UNDER PASS,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2016-04-29,2016,20.0,0
200,KIAMBU,THIKA GARISSA,MAGUNGUNI AREA,HEAD ON COLLISION,M,20,69.0,M/CYCLIST,1,2016-04-29,2016,2.0,0
945,LAIKIPIA,NANYUKI NYERI,EQUATOR,THE FIELDER RAMMED INTO THE STATIONARY VEHICLE,M,A,29.0,DRIVER,1,2016-04-26,2016,9.0,1
1030,KERICHO,KERICHO NAKURU,DUKA MOJA,THE CYCLE WAS HIT BY THE LORRY,M,26,98.0,M/CYCLIST,1,2016-04-26,2016,10.0,0
1210,HOMA BAY,RODI KOPANY RANGWE,TAUSI,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,11,,PEDESTRIAN,1,2016-04-26,2016,12.0,0
1100,KAKAMEGA,MATUNGU PANYA,PATH ROUTE,THE VICTIM WAS ON TOP OF A TREE WHEN HE FELL DOWN ONTO THE TRUCK,M,5,64.0,PEDESTRIAN,1,2016-04-26,2016,11.0,0
1430,MAKUENI,MOMBASA NAIROBI,MIGINGO AREA,THE CYCLIST LOST CONTROL AND ROLLED SEVERALL TIMES,M,23,98.0,M/CYCLIST,1,2016-04-26,2016,14.0,0
1230,EMBU,KIANGOKOMA TRADING CENTRE,MUNGANIA,THE CYCLIST KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,40,26.0,PEDESTRIAN,1,2016-04-26,2016,12.0,0
800,NAIROBI,MOMBASA,CABANAS,THE LORRY KNOCKED DOWN THE M/CYCLIST,M,A,,P/PASSENGER,1,2016-04-26,2016,8.0,1
2100,BARINGO,KABARNET MARIGAT,SESYA TRADING CENTRE,THE VEHICLE LOST CONTROL WHILE NEGOTIATING A SHARP CORNER AND LANDED INTO A DITCH,M,29,26.0,DRIVER,1,2016-04-26,2016,21.0,0
2315,BOMET,BOMET SOTIK,LONGISA SECONDARY SCHOOL,"THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND LANDED INTO A DITCH",M,A,26.0,DRIVER,1,2016-04-26,2016,23.0,0
2200,KISII,KISII KISUMU,NYAMATARO,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98.0,PEDESTRIAN,1,2016-04-26,2016,22.0,0
1630,KIAMBU,NAIROBI KIKUYU,KINOO,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,14.0,PEDESTRIAN,1,2016-04-26,2016,16.0,0
700,MAKUENI,NAIROBI MOMBASA,MLIMA KIU AREA,HEAD ON COLLISION,M,A,26.0,DRIVER,1,2016-04-24,2016,7.0,1
1300,BARINGO,ELDAMA RAVINE SAOS,KAPTANA,THE VEHICLE HIT THE M/CYCLIST,M,19,10.0,M/CYCLIST,1,2016-04-24,2016,13.0,0
2050,KAJIADO,KAJIADO ISINYA,KENCHICK AREA,HEAD ON COLLISION,M,A,10.0,M/CYCLIST,1,2016-04-24,2016,20.0,0
1500,HOMA BAY,OYUGIS KISII,KIDI AREA,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,15,98.0,PEDESTRIAN,1,2016-04-24,2016,15.0,0
2245,KAJIADO,NAIROBI MAGADI,SISA PUB,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,15,8.0,PEDESTRIAN,1,2016-04-24,2016,22.0,0
1245,MAKUENI,NAIROBI MOMBASA,MAKINDU TOWNSHIP,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,98.0,PEDESTRIAN,1,2016-04-23,2016,12.0,0
1750,KAKAMEGA,KAKAMEGA WEBUYE,MSALABA,THE CYCLE RAMMED INTO THE MATATU,M,A,8.0,M/CYCLIST,1,2016-04-23,2016,17.0,1
1750,KAKAMEGA,KAKAMEGA WEBUYE,MSALABA,THE CYCLE RAMMED INTO THE MATATU,M,A,8.0,P/PASSENGER,1,2016-04-23,2016,17.0,1
2050,KIAMBU,NORTHERN BY PASS,ROLEX AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,60.0,PEDESTRIAN,1,2016-04-23,2016,20.0,0
1430,KISUMU,CHEMILIL AWASI,OFFISENGENY AREA,"THE VEHICLE GOT A TYRE BURST,VEERED OFF THE ROAD AND ROLLED",F,70,79.0,PASSENGER,1,2016-04-23,2016,14.0,0
2100,NAKURU,OLKALAU GILGIL,KAROGA AREA,THE CYCLE LOST CONTROL AND LANDED INTO A DITCH,M,19,29.0,M/CYCLIST,1,2016-04-23,2016,21.0,0
2000,ELGEYO MARAKWET,ELDORET NYARU,CHIRCHIR AREA,THE VEHICLE RAMMED INTO THE REAR OF THE TRACTOR,M,5 MONTHS,10.0,PASSENGER,1,2016-04-23,2016,20.0,0
2030,MERU,MERU MIKINDURI,KANYABITHA AREA,HEAD ON COLLISION,M,A,98.0,DRIVER,1,2016-04-23,2016,20.0,0
2030,MERU,MERU MIKINDURI,KANYABITHA AREA,HEAD ON COLLISION,2F & M,A,98.0,PASSENGER,3,2016-04-23,2016,20.0,0
2315,MWINGI,MWINGI GARISSA,EAST VIEW AREA,HEAD ON COLLISION,M,26,8.0,M/CYCLIST,1,2016-04-23,2016,23.0,0
615,NAIROBI,THIKA SUPERHIGHWAY,DRIVE INN AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,A,14.0,PEDESTRIAN,1,2016-04-22,2016,6.0,1
1230,MAKURU,NAKURU NAIROBI,BAHATI JUNCTION,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,28,66.0,PEDESTRIAN,1,2016-04-22,2016,12.0,0
1930,KISII,NYANGUSU KEROKA,GESUSU AREA,THE PROBOX WAS TRYING TO OVERTAKE WHEN IT WAS HIT BY THE TOWNACE,M,A,29.0,DRIVER,1,2016-04-22,2016,19.0,1
1930,KISII,NYANGUSU KEROKA,GESUSU AREA,THE PROBOX WAS TRYING TO OVERTAKE WHEN IT WAS HIT BY THE TOWNACE,F,A,29.0,PEDESTRIAN,2,2016-04-22,2016,19.0,1
2030,KIAMBU,SOUTHERN BY PASS,NEAR KIKUYU FLY OVER,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,27,26.0,PEDESTRIAN,1,2016-04-22,2016,20.0,0
2035,NYERI,NYERI NYAHURURU,NEAR HONI RIVER,THE MATATU RAMMED INTO THE TRAILER,M,38,16.0,DRIVER,1,2016-04-22,2016,20.0,0
1455,MURANGA,MURANGA KIRIANI,KAWERU AREA,THE VEHICLE LOST CONTROL AND LANDED INTO A DITCH,M,40,7.0,DRIVER,1,2016-04-21,2016,14.0,0
1700,KAKAMEGA,KAKAMEGA MUMIAS,MAONDO AREA,HEAD ON COLLISION WITH M/CYCLE,F,60,10.0,P/PASSENGER,1,2016-04-21,2016,17.0,1
1950,NAIROBI,JOGOO ROAD,NEAR LIKONI JUNCTION,HIT AND RUN,M,A,63.0,PEDESTRIAN,1,2016-04-21,2016,19.0,1
2020,VIHIGA,CHAVAKALI KAPSABET,MUSASA AREA,HEAD ON COLLISION,M,A,8.0,DRIVER,1,2016-04-21,2016,20.0,0
2020,VIHIGA,CHAVAKALI KAPSABET,MUSASA AREA,HEAD ON COLLISION,M,A,8.0,PASSENGER,6,2016-04-21,2016,20.0,0
1,NAKURU,NAKURU NAIROBI,NEAR TUSKYS SUPERMARKET,THE CYCLE LOST CONTROL AND LANDED INTO A DITCH,M,A,98.0,M/CYCLIST,1,2016-04-21,2016,0.0,0
1520,KIAMBU,THIKA SUPERHIGHWAY,NEAR NDARUGO MOTELS,THE KXZ 560 RAMMED INTO THE REAR OF KCD 093X,M,30,7.0,DRIVER,1,2016-04-20,2016,15.0,0
1620,NAIROBI,WAIYAKI WAY,NEAR KABETE ARMY BARRACKS,THE VICTIM FELL DOWN AND WAS OVER RAN BY THE VEHICLE,M,25,70.0,PASSENGER,1,2016-04-20,2016,16.0,0
1525,KILIFI,MALINDI MOMBASA,PHUMANI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,90,61.0,PEDESTRIAN,1,2016-04-20,2016,15.0,0
1830,MACHAKOS,MAKADARA NAMAGA,NEAR BOX INN AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,9,63.0,PEDESTRIAN,1,2016-04-20,2016,18.0,1
1900,NAIROBI,JUJA ROAD,NEAR MOI AIR BASE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,25,42.0,PEDESTRIAN,1,2016-04-20,2016,19.0,1
2100,NAIROBI,WITHIN DONHOLM SHOPPING CENTRE,NEAR KAMINDI SUPERMARKET,HIT AND RUN,M,37,7.0,PEDESTRIAN,1,2016-04-20,2016,21.0,0
2139,EMBU,EMBU MANYATTA,MANYATTA MARKET,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,35,98.0,PEDESTRIAN,1,2016-04-20,2016,21.0,0
130,MAKUENI,MOMBASA NAIROBI,KENANI AREA,THE BUS HIT THE VEHICLE AND AS RESULT THE SURF ROLLED SEVERAL TIMES,M,43,98.0,DRIVER,1,2016-04-20,2016,1.0,0
130,MAKUENI,MOMBASA NAIROBI,KENANI AREA,THE BUS HIT THE VEHICLE AND AS RESULT THE SURF ROLLED SEVERAL TIMES,M,43,98.0,PASSENGER,1,2016-04-20,2016,1.0,0
700,NAKURU,MAI MAHIU NAIVASHA,KOSOVO AREA,THE SCANIA TRAILER RAMMED INTO BEIBEN TRAILER,M,A,10.0,DRIVER,1,2016-04-19,2016,7.0,1
930,KAKAMEGA,MUMIAS LUKOYE,MUMIAS LUKOYE JUNCTION,THE VEHICLE KNOCKED DOWN THE MOTOR CYCLIST,M,J,7.0,P/PASSENGER,1,2016-04-19,2016,9.0,1
930,HOMA BAY,NDHIWA SORI,NTHIWA AREA,"THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND ROLLED",M,A,26.0,PASSENGER,1,2016-04-19,2016,9.0,1
1530,MOMBASA,SHIMANZI MOMBASA,NEAR SHIVA CORNER,HIT AND RUN,M,40,98.0,PEDESTRIAN,1,2016-04-19,2016,15.0,0
1330,BARINGO,MUNGOTIO RAVINE,NGOSWET AREA,THE VEHICLE KNOCKED DOWN THE MOTOR CYCLIST,M,24,8.0,M/CYCLIST,1,2016-04-19,2016,13.0,0
1000,KIAMBU,NAIROBI NAIVASHA,NGARARIGA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,55,68.0,PEDESTRIAN,1,2016-04-18,2016,10.0,0
1630,NAIROBI,LANDHIES ROAD,NEAR SAKWA JUNCTION,THE VEHICLE KNOCKED DOWN UNKNOWN H/CART PUSHER,M,A,20.0,DRIVER,1,2016-04-18,2016,16.0,0
2040,KIRINYAGA,MWEA MAKUTANO,MAKAWANI AREA,THE VEHICLE KNOCKED DOWN THE M/CYCLE,F,30,98.0,P/PASSENGER,1,2016-04-18,2016,20.0,0
2000,NAIROBI,LOWER KABETE,NEAR SHELL PETROL STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,M,60,14.0,PEDESTRIAN,1,2016-04-18,2016,20.0,0
2130,BARINGO,MARIGAT LORUK,LORUK,THE SAID M/V VEERED OFF THE ROAD LANDING ON RIGHT SIDE OF THE ROAD,M,28,26.0,DRIVER,1,2016-04-17,2016,21.0,0
1730,EMBU,MWEA EMBU,KIRINYAGA,THE SAID M/V KNOCKED DOWN A PEDESTIAN,F,9,36.0,PEDESTRIAN,1,2016-04-17,2016,17.0,1
1615,NAKURU,NAKURU ELDORET,NAKURU TEACHERS COLLEGE,THE SAID M/V KNOCKED DOWN A PEDESTIAN,M,12,63.0,PEDESTRIAN,1,2016-04-17,2016,16.0,0
1930,MOMBASA,MAKUPA CUSE WAY,DUMPING SITE,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-04-17,2016,19.0,1
2200,GARISSA,GARISSA MWINGI,MADOGO,THE SAID M/CYLIST COLLIDED HEAD ON WITH A M/V,M,A,98.0,M/CYCLIST,1,2016-04-17,2016,22.0,0
1714,MACHAKOS,NAIROBI MACHAKOS,PETER MULI SUPERMARKET,UNKNOWN M/V HIT UNKNOWN PEDESTRIAN,M,A,98.0,PEDESTRIAN,1,2016-04-17,2016,17.0,1
800,NAIROBI,JUJA,OLYMPIC PETROL STATION,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-04-16,2016,8.0,1
700,KILIFI,NAIROBI MOMBASA,SAMBURU AREA,THE ISUZU RAMMED INTO THE REAR OF THE TRAILER,M,35,7.0,DRIVER,1,2016-04-16,2016,7.0,1
1430,HOMA BAY,BONDO NDORI,NEAR ATIGO MARKET,THE VEHICLE KNOCKED DOWN THE VICTIM,F,12,98.0,PEDESTRIAN,1,2016-04-16,2016,14.0,0
1430,NAIROBI,NORTHERN BY PASS,GITHOGORO AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,25,98.0,PEDESTRIAN,1,2016-04-16,2016,14.0,0
1930,NAKURU,KERICHO NAKURU,CHEBEWORKWA NAHASHON AREA,HIT AND RUN,M,27,60.0,PEDESTRIAN,1,2016-04-16,2016,19.0,1
2100,NAIROBI,KIAMBU,WAMBUI ROAD NEXT TO TUTHAIGA GOLF CLUB,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-04-16,2016,21.0,0
2045,NAROK,NAROK MAIMAHIU,STIMA AREA,THE MATATU RAMMED INTO THE REAR OF THE TRACTOR,M,A,29.0,PASSENGER,1,2016-04-16,2016,20.0,0
2145,NYERI,MUKURWENI KARATINA,NGOLU AREA,HEAD ON COLLISION,M,44,8.0,DRIVER,1,2016-04-16,2016,21.0,0
129,NAIROBI,LIMURU FOREST,LIMURU FOREST INTERCHANGE,HEAD ON COLLISION WITH AN ONCOMING VEHICLE,M,57,8.0,M/CYCLIST,1,2016-04-16,2016,1.0,0
1201,KISUMU,KISUMU BUSIA,KISUMU AIRPORT ROUNDABOUT,THE CYCLE LOST CONTROL AND FELL DOWN,M,A,36.0,M/CYCLIST,1,2016-04-16,2016,12.0,0
1246,NAIROBI,RACE COURSE,OPPOSITE KOINANGE PETROL STN,HIT AND RUN,M,30,60.0,PEDESTRIAN,1,2016-04-16,2016,12.0,0
1605,NAKURU,MOLO ELBAGON,NEAR LANDI AREA,THE CYCLE RAMMED INTO THE SALOON CAR,M,A,39.0,M/CYCLIST,1,2016-04-16,2016,16.0,0
700,MIGORI,AWENDO MIGORI,LWALA,THE FIELDER RAMMED INTO THE MITSUBISHI,M,18,29.0,DRIVER,1,2016-04-15,2016,7.0,1
830,MAKUENI,KIKOKO NUNGUNI,KISYANI,HEAD ON COLLISION,M,50,29.0,M/CYCLIST,1,2016-04-15,2016,8.0,1
1300,NAROK,MULOT NAROK,KUTETE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,12,60.0,PEDESTRIAN,1,2016-04-15,2016,13.0,0
1200,TRANS NZOIA,KITALE ELDORET,CHEMOSIT,THE M/CYCLE WAS HIT BY THE MATATU,M,50,10.0,M/CYCLIST,1,2016-04-15,2016,12.0,0
1420,MAKUENI,MTITO TOWNSHIP,MTITO TOWNSHIP,HEAD ON COLLISION WITH ANOTHER TRAILER,M,22,68.0,PASSENGER,1,2016-04-15,2016,14.0,0
1500,KISUMU,ONYWONGO PAP ONDITI,KOGUOM,THE VEHICLE KNOCKED DOWN THE M/CYCLIST,F,71,22.0,P/PASSENGER,1,2016-04-15,2016,15.0,0
1900,KILIFI,KILIFI MALINDI,MKOROSHONI,THE VEHICLE KNOCKED DOWN THE M/CYCLIST,M,17,26.0,M/CYCLIST,1,2016-04-15,2016,19.0,1
2030,MURANGA,KANGEMA MURANGA,KAHUTI JUNCTION,"THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM",M,30,7.0,PEDESTRIAN,1,2016-04-15,2016,20.0,0
10,NAKURU,NAKURU NAIROBI,STATE HOUSE,"THE VEHICLE LOST CONTROL,VEERED OFF THE ROAD AND LANDED INTO A DITCH",M,A,26.0,DRIVER,1,2016-04-15,2016,0.0,0
120,KIAMBU,EASTERN BY PASS,ROLEX,HIT AND RUN,M,A,61.0,PEDESTRIAN,1,2016-04-15,2016,1.0,0
2100,VIHIGA,KISUMU BUSIA,MAGHARIBI FILLING STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,M,50,29.0,PEDESTRIAN,1,2016-04-15,2016,21.0,0
530,NAROK,MAIMAHIU NAROK,MALTURS AREA,THE VEHICLE LOST CONTROL AND VEERED OFF THE ROAD,M,A,26.0,PASSENGER,1,2016-04-14,2016,5.0,0
700,NAIROBI,MURANGA,K.I.E,THE VICTIM ALIGHTED WHILE THE VEHICLE WAS IN MOTION,M,A,69.0,PASSENGER,1,2016-04-14,2016,7.0,1
1930,KISUMU,USENGE BEACH ROAD,USENGE TOWNSHIP,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,35,26.0,PEDESTRIAN,1,2016-04-14,2016,19.0,1
2000,MOMBASA,MAKUPA CAUSEWAY(KIPARANI),NEAR RAILWAY BRIDGE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,63.0,PEDESTRIAN,1,2016-04-14,2016,20.0,0
2215,MACHAKOS,NAIROBI MOMBASA,SALAMA TRADING CENTRE,HIT AND RUN,M,43,98.0,PEDESTRIAN,1,2016-04-14,2016,22.0,0
2315,HOMA BAY,AHERO KISUMU,NEAR AWASI,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,60.0,PEDESTRIAN,1,2016-04-14,2016,23.0,0
610,NAKURU,NAKURU ELDORET,KERONGA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,A,63.0,PEDESTRIAN,1,2016-04-13,2016,6.0,1
945,KILIFI,MOMBASA KILIFI,MTWAPA BRIDGE,HIT AND RUN,M,28,98.0,M/CYCLIST,1,2016-04-13,2016,9.0,1
1130,MACHAKOS,NAIROBI MACHAKOS,MTO MAWE AREA,HEAD ON COLLISION,M,A,29.0,DRIVER,1,2016-04-13,2016,11.0,0
1530,NAKURU,NAKURU ELDORET,OPPOSITE KENOL PETROL STATION,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,30,60.0,PEDESTRIAN,1,2016-04-13,2016,15.0,0
1750,KILIFI,MOMBASA KILIFI,SHAURI MOYO AREA,THE HARRIER COLLIDED HEAD ON WITH THE ONCOMING MATATU,M,24,10.0,PASSENGER,1,2016-04-13,2016,17.0,1
1550,HOMA BAY,KIGOTO MAGUNGA,NYABURU AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,13,68.0,PEDESTRIAN,1,2016-04-13,2016,15.0,0
100,KIAMBU,NAIROBI THIKA,KIHUNGURO BUMPS AREA,HIT AND RUN,F,30,14.0,PEDESTRIAN,1,2016-04-13,2016,1.0,0
800,NAIROBI,KOMAROCK ROAD,WAMWERE STAGE,THE VEHICLE HIT THE M/CYCLE,M,A,26.0,M/CYCLIST,1,2016-04-12,2016,8.0,1
1105,KIAMBU,NAIVASHA NAIROBI,KIMENDE AREA,THE KBN 174V HIT THE OTHER VEHICLE,F,A,15.0,PASSENGER,1,2016-04-12,2016,11.0,0
