TIME 24 HOURS,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,year,hour,is_peak_hour
115,NANDI,ELDORET KITALE,SOI BRIDGE,HEAD ON COLLISION,M,32,98.0,DRIVER,1,2016-06-21,2016,1.0,0
545,NAIROBI,LANDHIES,NEAR NASIKO COOP BANK,HIT AND RUN,M,30,98.0,PEDESTRIAN,1,2016-06-20,2016,5.0,0
720,NAIROBI,KAMOROCK,MSAPONI COURT EATATE GATE,THE VEHICLE KNOCKED DOWN THE VICTIM,F,A,26.0,PEDESTRIAN,1,2016-06-20,2016,7.0,1
1525,TRANS NZOIA,ELDORET KITALE,SOI BRIDGE,THE CYCLE LOST CONTROL AND HIT THE VEHICLE,M,29,20.0,M/CYCLIST,1,2016-06-20,2016,15.0,0
1525,SIAYA,LUANDA KOTIENO NDORI,MITURI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,1.5,29.0,P/PASSENGER,1,2016-06-20,2016,15.0,0
1930,NAIROBI,SOUTHERN BY PASS,NGONG ROAD JUNCTION,THE VEHICLE KNOCKED DOWN THE VICTIM,F,57,98.0,PEDESTRIAN,1,2016-06-20,2016,19.0,1
2100,KAJIADO,KITENGELA ISINYA,KIMALAT AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,68.0,PEDESTRIAN,1,2016-06-20,2016,21.0,0
2130,KIAMBU,NAIVASHA NAIROBI,KIAMBAA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,35,68.0,PEDESTRIAN,1,2016-06-20,2016,21.0,0
1230,NAIROBI,MOMBASA,IMARA DAIMA,THE VEHICLE KNOCKED DOWN THE VICTIM WHO WAS CROSSING THE ROAD,M,J,60.0,PEDESTRIAN,1,2016-06-19,2016,12.0,0
1100,KILIFI,KILIFI-MALINDI,CHUMANI,HEAD ON COLLISION,M,A,10.0,MOTOR CYCLIST & P/PASSENGER,2,2016-06-19,2016,11.0,0
2100,NAKURU,NAKURU-ELDORET,MOLO RIVER,HIT & RAN,M,A,98.0,PEDESTRIAN,1,2016-06-19,2016,21.0,0
2100,NAIROBI,JOGOO,MAZIWA,THE BUS HIT THE MOTOR CYCLE FROM BEHIND,M,30,30.0,MOTOR CYCLIST,1,2016-06-19,2016,21.0,0
UNKNOWN TIME,KWALE,MSA VOI ROAD,PIPELINE,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-06-18,2016,,0
1120,KILIFI,KILIFI MOMBASA,GOROFANI AREA,THE VEHICLE HIT THE M/CYCLE,M,36,26.0,P/PASSENGER,1,2016-06-18,2016,11.0,0
1500,KIAMBU,KIJABE GICHIEGO ROAD,GICHIEGO,THE VEHICLE LOST CONTROL AND RAMMD INTO A TREE,M,A,26.0,DRIVER,1,2016-06-18,2016,15.0,0
1500,KIAMBU,KIJABE GICHIEGO ROAD,GICHIEGO,THE VEHICLE LOST CONTROL AND RAMMD INTO A TREE,M,A,26.0,PASSENGER,2,2016-06-18,2016,15.0,0
1830,NAIROBI,PARKLANDS MUTHAMA,MUTHAMA JUNCTION,THE CYCLE WAS HIT BY THE MOTOR VEHICLE,M,40,7.0,M/CYCLIST,1,2016-06-18,2016,18.0,1
2030,KISII,KISII KILGORIS ROAD,GUCHA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,7.0,PEDESTRIAN,1,2016-06-18,2016,20.0,0
1830,HOMA BAY,KISII MIGORI,GUCHA BRIDGE,HEAD ON COLLISION,F,A,26.0,PASSENGER,1,2016-06-18,2016,18.0,1
2100,KAJIADO,KISERIAN ISINYA,DAWAMU,HEAD ON COLLISION,M,33,22.0,M/CYCLIST,1,2016-06-18,2016,21.0,0
2330,UASIN GISHU,KITALE WEBUYE,KIMININI,THE VEHICLE HIT THE M/CYCLE,M,27,8.0,P/PASSENGER,1,2016-06-18,2016,23.0,0
2200,NAKURU,ELDORET NAKURU,NGONG,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,68.0,PEDESTRIAN,1,2016-06-18,2016,22.0,0
2230,NAROK,NAROK OLOPITO,OLOPITO,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-06-18,2016,22.0,0
110,NAIROBI,NGONG ROAD,PATHWAY JUNCTION,HIT AND RUN,M,40,98.0,PEDESTRIAN,1,2016-06-18,2016,1.0,0
900,KAJIADO,OLENARA IMPORO,IMPORO AREA,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,A,80.0,PASSENGER,1,2016-06-17,2016,9.0,1
1920,NAIROBI,WAIYAKI WAY,KANGEMI MARKET,THE VEHICLE KNOCKED DOWN THE VICTIM,M,36,60.0,PEDESTRIAN,1,2016-06-17,2016,19.0,1
