id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,dominant_cause,dominant_cause_name
51.0,Enugu,Q1 2021,3,0,4,3,7,0,0,5,7,0,5,0,0,0,0,0,41,SLV,Other
52.0,Fct,Q1 2021,158,0,17,4,7,2,0,1,36,0,34,1,0,1,0,0,125,SPV,Speed Violation
53.0,Gombe,Q1 2021,33,0,9,7,2,3,0,2,11,0,4,2,0,0,0,0,9,SPV,Speed Violation
54.0,Imo,Q1 2021,5,0,3,1,2,0,0,3,0,0,0,0,0,0,0,0,2,SPV,Speed Violation
55.0,Jigawa,Q1 2021,82,1,7,1,0,12,0,6,6,0,5,7,0,0,0,1,4,SPV,Speed Violation
56.0,Kaduna,Q1 2021,211,1,22,4,5,0,0,30,12,3,16,2,3,0,0,7,48,SPV,Speed Violation
57.0,Kano,Q1 2021,110,1,8,0,1,2,4,17,6,1,12,2,0,0,0,3,17,SPV,Speed Violation
58.0,Katsina,Q1 2021,74,0,2,0,3,0,0,3,7,0,2,0,0,0,0,0,1,SPV,Speed Violation
59.0,Kebbi,Q1 2021,38,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,SPV,Speed Violation
60.0,Kogi,Q1 2021,105,0,8,5,10,0,0,19,6,0,11,9,4,1,0,0,35,SPV,Speed Violation
61.0,Kwara,Q1 2021,91,0,5,6,1,1,1,17,2,0,0,0,0,0,0,0,32,SPV,Speed Violation
62.0,Lagos,Q1 2021,85,0,2,16,13,0,0,12,8,3,6,0,0,0,0,2,0,SPV,Speed Violation
63.0,Nasarawa,Q1 2021,75,0,8,9,3,0,0,10,34,1,11,0,0,1,0,1,34,SPV,Speed Violation
64.0,Niger,Q1 2021,128,0,1,4,4,2,0,11,8,0,7,1,0,0,0,2,2,SPV,Speed Violation
65.0,Ogun,Q1 2021,270,0,20,25,23,6,1,18,8,10,11,4,3,0,0,0,4,SPV,Speed Violation
66.0,Ondo,Q1 2021,96,0,8,3,9,0,1,14,12,3,4,0,0,0,0,2,0,SPV,Speed Violation
67.0,Osun,Q1 2021,78,0,11,6,8,0,2,7,10,2,2,2,1,0,0,3,0,SPV,Speed Violation
68.0,Oyo,Q1 2021,129,0,14,7,19,1,2,19,17,5,4,2,0,0,2,1,0,SPV,Speed Violation
69.0,Plateau,Q1 2021,15,0,1,3,7,1,0,4,9,0,0,1,0,0,0,0,1,SPV,Speed Violation
70.0,Rivers,Q1 2021,12,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,1,SPV,Speed Violation
71.0,Sokoto,Q1 2021,46,0,1,0,1,0,1,1,5,0,1,1,0,0,0,0,0,SPV,Speed Violation
